model_name,dataset,policy,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
01-ai/Yi-6B,short_long,adaptive_io_aging,1092.7,84.7410779784061,0.1410646915900765,993.4084092690889,0.27454928159604647,1209.1067996705408,1141.241877917086,84.48259470184799,0,41379.0
01-ai/Yi-6B,short_short,fcfs,107.14,1.6464548674505197,0.06754017959348843,16.25661782765295,2.800074668657831,1120.7112189658392,398.5346275900691,1.5976844734931357,0,39407.0
01-ai/Yi-6B,short_short,sjf,106.95,1.5862940065097055,0.06507603445788832,16.799730686745605,2.805049088359046,1122.7021972884525,399.24263674614303,1.5244411396747448,0,39407.0
01-ai/Yi-6B,short_short,ljf,106.66,1.5875685098208479,0.06512975739625596,16.409858735376034,2.8126757922370147,1125.754734670917,400.3281455090943,1.5217958459490903,0,39407.0
01-ai/Yi-6B,short_short,prompt_len_sjf,106.66,1.558524174303747,0.06675585767719881,16.814783280068077,2.8126757922370147,1125.754734670917,400.3281455090943,1.4976813379302614,0,39407.0
01-ai/Yi-6B,short_short,prefill_aging_fairness,106.57,1.606272796704433,0.06472989316098376,16.456932686343787,2.815051140095712,1126.705451815708,400.6662287698227,1.545218608956783,0,39407.0
01-ai/Yi-6B,short_short,vtc_fairness,107.11,1.6420233568502582,0.06745846718549714,16.702958561917765,2.8008589300718887,1121.0251143684063,398.64625151713193,1.5786214528279372,0,39407.0
01-ai/Yi-6B,short_short,skip_join_mlfq,106.91,1.6321901355963193,0.06405281217644612,16.42963573754299,2.8060985875970443,1123.1222523617996,399.3920119726873,1.5712417315226044,0,39407.0
01-ai/Yi-6B,short_short,least_laxity_first,107.05,1.5579591282246377,0.06704415886499063,16.910102249216568,2.802428771602055,1121.6534329752453,398.86968706212053,1.4962559023345208,0,39407.0
01-ai/Yi-6B,short_short,hybrid,106.57,1.621744847215081,0.06555879192295545,16.72918784580346,2.815051140095712,1126.705451815708,400.6662287698227,1.5588924679447147,0,39407.0
01-ai/Yi-6B,short_short,adaptive_io_aging,106.66,1.5840621398249224,0.06747736826002877,16.73978365347613,2.8126757922370147,1125.754734670917,400.3281455090943,1.5218336667149508,0,39407.0
DiscoResearch/mixtral-7b-8expert,long_long,fcfs,1344.84,368.36530786312846,0.15711239574833957,1235.9317833243715,0.223074863924333,2119.9555337437914,967.1157907260343,363.5376224475881,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,sjf,1300.28,339.76993167776914,0.15527223928035938,1191.048824329622,0.23071953733042114,2192.60543882856,1000.2584058818101,335.45230023956924,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,ljf,1354.61,365.2125080558496,0.16132673466779654,1245.9129121920025,0.22146595699131116,2104.6655494939505,960.1405570607039,360.4573286381795,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,prompt_len_sjf,1290.95,374.49672613410877,0.1553380336266202,1182.9444687724924,0.23238700182036484,2208.4519152562066,1007.4875091986521,369.16386514857896,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,prefill_aging_fairness,1312.82,365.9628452111989,0.14799242457919623,1204.3158479057224,0.2285157142639509,2171.6617662741273,990.7039807437425,361.414037598459,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,vtc_fairness,1335.01,365.2775722043296,0.15799938028360047,1226.5628631702727,0.22471741784705732,2135.5652766645944,974.2368971018943,360.5537067281989,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,skip_join_mlfq,1345.69,365.1763988414392,0.16149951245610522,1237.1185250743415,0.2229339595300552,2118.6164718471564,966.5049156938076,360.3294124444887,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,least_laxity_first,1319.06,357.36668778149857,0.15381501430949493,1210.6904445864222,0.22743468833866543,2161.388412960745,986.0173153609389,352.82712577864953,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,hybrid,1326.86,365.2562082339792,0.1559429744263473,1217.2833197114517,0.2260977043546418,2148.682604042627,980.2209728230561,360.44997224752933,0,39711.0
DiscoResearch/mixtral-7b-8expert,long_long,adaptive_io_aging,1339.55,365.83493744229963,0.15766742260828864,1231.4353583182433,0.22395580605427196,2128.3274233884513,970.9350154902767,361.12277978567937,0,39711.0
