model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
mixtral,2048,10,92.24,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_10_qps_mixtral
mixtral,3072,10,90.72,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_10_qps_mixtral
mixtral,4096,10,85.67,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_10_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_10_qps_mixtral
mixtral,128,15,398.25,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_15_qps_mixtral
mixtral,256,15,224.01,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_15_qps_mixtral
mixtral,512,15,143.44,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_15_qps_mixtral
mixtral,1024,15,112.72,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_15_qps_mixtral
mixtral,2048,15,86.66,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_15_qps_mixtral
mixtral,3072,15,87.72,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_3072_poison_15_qps_mixtral
mixtral,4096,15,87.71,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_4096_poison_15_qps_mixtral
mixtral,128,20,396.67,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_128_poison_20_qps_mixtral
mixtral,256,20,226.31,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_256_poison_20_qps_mixtral
mixtral,512,20,146.45,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_512_poison_20_qps_mixtral
mixtral,1024,20,109.14,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_1024_poison_20_qps_mixtral
mixtral,2048,20,90.41,success,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_20_qps_mixtral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/arxiv/arxiv_chunk_2048_poison_20_qps_mixtral
