model,chunk_size,qps,total_time,status,sequence_metrics_csv,output_dir
mistral,256,5,247.39,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_5_qps_mistral
mistral,512,5,208.25,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_5_qps_mistral
mistral,1024,5,189.57,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_5_qps_mistral
mistral,2048,5,183.20,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_2048_poison_5_qps_mistral
mistral,3072,5,181.60,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_3072_poison_5_qps_mistral
mistral,4096,5,174.90,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_5_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_4096_poison_5_qps_mistral
mistral,128,10,374.42,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_128_poison_10_qps_mistral
mistral,256,10,250.93,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_256_poison_10_qps_mistral
mistral,512,10,205.97,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_512_poison_10_qps_mistral
mistral,1024,10,189.38,success,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_10_qps_mistral/replica_0/sequence_metrics.csv,/home/sabiha/sarathi-serve/benchmark_output/sharegpt/sharegpt_chunk_1024_poison_10_qps_mistral
