model_safe,dataset,policy,total_time,status,sequence_metrics_csv,output_dir
llama2_7b,short_long,hybrid,3023.36,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_hybrid_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_hybrid_chunk512_qps3_n300
llama2_7b,short_long,adaptive_io_aging,3011.31,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_adaptive_io_aging_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_long_sched_policy_adaptive_io_aging_chunk512_qps3_n300
llama2_7b,short_short,fcfs,105.61,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_fcfs_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_fcfs_chunk512_qps3_n300
llama2_7b,short_short,sjf,107.76,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_sjf_chunk512_qps3_n300
llama2_7b,short_short,ljf,106.99,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_ljf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_ljf_chunk512_qps3_n300
llama2_7b,short_short,prompt_len_sjf,105.19,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_prompt_len_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_prompt_len_sjf_chunk512_qps3_n300
llama2_7b,short_short,prefill_aging_fairness,107.26,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_prefill_aging_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_prefill_aging_fairness_chunk512_qps3_n300
llama2_7b,short_short,vtc_fairness,105.06,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_vtc_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_vtc_fairness_chunk512_qps3_n300
llama2_7b,short_short,skip_join_mlfq,107.09,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_skip_join_mlfq_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_skip_join_mlfq_chunk512_qps3_n300
llama2_7b,short_short,least_laxity_first,107.00,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_least_laxity_first_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/llama2_7b_short_short_sched_policy_least_laxity_first_chunk512_qps3_n300
