model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
mixtral,3072,20,91.64,60.00815180129779,0.17754055613478747,86.43810719330097,3.273679615888258,29281.132693147098,725.8729812309035,59.06906311049009,0,39900.0
mixtral,4096,20,88.17,51.594376352360705,0.21569965625318407,83.81756764748773,3.402517863218782,30433.514800952704,754.4402858115005,50.59238744263246,0,39892.0
qwen,128,1,808.87,508.77314346640134,0.0871388604003753,525.5961575960985,0.37088778172017756,3317.372383695773,82.23694784081496,501.2624873185431,0,39892.0
qwen,256,1,618.32,317.2954401950037,0.10240610385862504,338.00856845137196,0.48518566438090305,4339.699508345193,107.58021736317764,312.501562285283,0,39982.0
qwen,512,1,599.02,298.0047472039325,0.11861642687809526,321.42296623861824,0.5008180027378051,4479.521551868052,111.04637574705352,296.55641581789996,0,39986.0
qwen,1024,1,634.74,334.1485415655566,0.13560169764971167,357.53875157934556,0.47263446450515173,4227.436430664524,104.79723981472729,332.91070953772345,0,39934.0
qwen,2048,1,672.94,372.85690508337575,0.15001871592341823,396.32525127003316,0.445804975183523,3987.462478081255,98.84833714744256,371.9187614385266,0,39908.0
qwen,3072,1,684.35,381.04593514904786,0.15112807678910778,407.42933883359945,0.43837217797910427,3920.9804924380796,97.20026302330679,380.2350437652803,0,39896.0
qwen,4096,1,679.61,378.02045798977076,0.15547125150558055,402.8345444186247,0.44142964347199126,3948.3277173673137,97.87819484704463,376.7821239249024,0,39880.0
qwen,128,5,809.97,737.1805764541537,0.08660571388761018,753.5699016865489,0.37038408829956665,3312.867143227527,82.12526389866291,729.702032898477,0,39892.0
qwen,256,5,615.05,540.302699724952,0.10213228301341848,561.255114066655,0.4877652223396472,4362.772132346964,108.15218274936998,535.4648333338986,0,39982.0
qwen,512,5,604.12,529.941740618461,0.11682185819652194,551.6452951605391,0.4965900814407734,4441.705290339668,110.10891875786268,528.4807444271032,0,39986.0
qwen,1024,5,634.99,561.4503121317317,0.1370374495019617,582.8710628234642,0.4724483850139372,4225.77205940251,104.7559804091403,560.3449360510101,0,39934.0
qwen,2048,5,675.11,601.9320565778005,0.15326003367866864,623.1460107598774,0.444372028262061,3974.6456133074607,98.53060982654678,600.6643380386004,0,39908.0
qwen,3072,5,676.54,601.3007520113949,0.1482465020143374,624.3476657761278,0.4434327608123688,3966.24442013776,98.32234605492654,599.9210325465206,0,39896.0
qwen,4096,5,683.38,609.3432357422327,0.1580267652316924,631.1971205075067,0.43899441013784424,3926.5459919810355,97.3382305598642,608.280862814933,0,39880.0
qwen,128,10,800.90,757.2145284141437,0.08605884896684185,773.1502966598433,0.37457859907603946,3350.3845673617184,83.05531277313023,749.8323733887775,0,39892.0
qwen,256,10,615.07,569.5587609560782,0.1018561159129238,590.3349836688529,0.4877493618612515,4362.630269725397,108.1486660054953,564.7187830471463,0,39982.0
qwen,512,10,597.64,552.3338497038407,0.11748971236310378,573.8048057323077,0.501974432768891,4489.865136202397,111.3027909778462,550.8609731889685,0,39986.0
qwen,1024,10,626.40,579.9118631005467,0.1290276804152515,600.8637755947915,0.47892720306513414,4283.721264367816,106.1925287356322,578.7049340343964,0,39934.0
qwen,2048,10,673.32,628.8499075193738,0.15314525963564593,650.1420249473595,0.4455533772945999,3985.2120834075918,98.79255034753163,627.599426272051,0,39908.0
qwen,3072,10,685.55,638.3700263494824,0.15017705772369092,662.3022719030047,0.4376048428269273,3914.117132229597,97.0301218000146,636.9784121428191,0,39896.0
qwen,4096,10,677.63,632.4184860095864,0.1541544986652023,654.307291408254,0.4427194781813084,3959.8645278396766,98.16418989714151,631.353769006962,0,39880.0
qwen,128,15,820.69,785.9466582183312,0.08910493549129576,802.2077130419505,0.36554606489661134,3269.5938783219,81.05252896952564,778.3528776292252,0,39892.0
qwen,256,15,619.99,583.7660641996114,0.1028752960253482,604.8666996392008,0.4838787722382619,4328.0101291956325,107.29044016838981,578.8508410749253,0,39982.0
qwen,512,15,601.38,565.7267368078057,0.11618345447830754,586.7850978249085,0.49885263893045995,4461.942532175995,110.61059563005088,564.1761791749502,0,39986.0
qwen,1024,15,630.39,594.9741274913371,0.13299660489040666,615.945040653419,0.47589587398277255,4256.607814210251,105.52039213820017,593.8645814071037,0,39934.0
qwen,2048,15,671.44,636.3387932844815,0.1521384227706651,657.6384099084016,0.4468009055165018,3996.370487310854,99.06916478017395,635.092401483457,0,39908.0
qwen,3072,15,680.26,642.4330894088401,0.14993245330358537,665.5229004180821,0.4410078499397289,3944.555023079411,97.78467056713609,641.1809672956571,0,39896.0
qwen,4096,15,681.43,645.4056657620315,0.15509900272014612,667.2634995994205,0.44025064936970787,3937.7823107289087,97.61677648474532,644.4066656037938,0,39880.0
qwen,128,20,796.81,767.3173478310753,0.08584100190622218,782.8739896745321,0.3765012989294813,3367.581983157842,83.48163301163389,760.0764835415716,0,39892.0
qwen,256,20,624.03,592.7314342359954,0.1020283604695367,613.7212342285056,0.48074611797509736,4299.990385077641,106.59583673861835,587.4703380365797,0,39982.0
qwen,512,20,604.14,572.9717495198274,0.11753839544826647,594.3665502227284,0.4965736418710895,4441.558248088191,110.10527361207667,571.4877242190507,0,39986.0
qwen,1024,20,627.20,596.5755150093121,0.13136570788802013,617.3880299123837,0.47831632653061223,4278.257334183673,106.05707908163265,595.4729057899868,0,39934.0
qwen,2048,20,670.38,640.024624981429,0.15222360784982533,661.2664592245251,0.44750738387183386,4002.6895193770697,99.22581222590173,638.763727920666,0,39908.0
qwen,3072,20,689.96,657.0808746334707,0.15103423292423357,680.9441774284531,0.43480781494579396,3889.0993680793085,96.40993680793089,655.6945059442997,0,39896.0
qwen,4096,20,684.17,652.1151748029299,0.1533970422042912,673.4868320128136,0.4384875104140784,3922.012073022787,97.2258356841136,650.9268357407168,0,39880.0
yi,128,1,532.36,239.16410991846,0.05432361217736496,251.4507109660865,0.5635284394019084,5040.429408670824,124.95116086858516,234.40562508605302,0,39916.0
yi,256,1,325.38,37.04528391488944,0.06517457433663836,59.369163855017966,0.9219988936013277,8246.736123916651,204.43481467822238,35.257842022759725,0,39920.0
yi,512,1,296.36,8.038399905964031,0.09204575639366257,40.62117080950351,1.0122823592927521,9054.268457281683,224.45336752598192,6.341168884876533,0,40000.0
yi,1024,1,298.31,7.433416827282635,0.15591581480719285,59.108505637972264,1.0056652475612617,8995.082296939425,222.98615534175858,6.182934446648578,0,39896.0
yi,2048,1,300.80,7.608025855732263,0.2074731482461903,72.88817299278159,0.9973404255319148,8920.621675531915,221.14029255319147,6.411314943300676,0,39936.0
yi,3072,1,300.67,6.944796439410999,0.21834365618214846,80.78480865334917,0.9977716433298965,8924.478664316359,221.23590647553794,6.012319615266169,0,39924.0
yi,4096,1,303.07,6.801729709394857,0.24024835152618432,89.26242222498693,0.9898703269871647,8853.806051407266,219.48394760286402,5.597843054462573,0,39908.0
yi,128,5,529.32,463.983163253747,0.05470784216102242,474.40985698079925,0.5667649059170256,5069.377692133303,125.66878258898208,459.213147498687,0,39916.0
yi,256,5,340.83,274.2092581821071,0.06828819274489653,288.0244133693591,0.8802042073761113,7872.907314496963,195.16767890150516,271.341395141175,0,39920.0
yi,512,5,248.48,181.2060351341165,0.09587997187645436,197.81781975006626,1.2073406310367032,10798.949613650999,267.7036381197682,178.9675100134022,0,39996.0
