model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
mixtral,4096,15,97.34,5.011322657390264,0.13647752933646454,90.3810425332724,3.081980686254366,8151.797822066981,1357.59194575714,4.912079189415089,0,39431.0
mixtral,128,20,368.13,327.2782896974124,0.06136405235666138,356.6378723641168,0.8149295085975063,2155.477684513623,358.9710156738109,327.14752611734554,0,39409.0
mixtral,256,20,223.91,175.07694847731196,0.07007815238073298,207.35327541412303,1.339824036443214,3543.8167120718144,590.1835558929928,174.95343821112547,0,39425.0
mixtral,512,20,158.09,98.11234130516081,0.08696736938002034,143.12871668162245,1.8976532354987665,5019.267505851098,835.9035992156366,98.00820249757497,0,39457.0
mixtral,1024,20,118.74,46.55962447767074,0.09843198322955982,104.62635816116453,2.5265285497726127,6682.63432710123,1112.9189826511706,46.387386008485045,0,39511.0
mixtral,2048,20,98.98,17.251901784954097,0.11358185256393728,88.81658898979629,3.0309153364316024,8016.730652657102,1335.0979995958778,17.113253620046454,0,39547.0
mixtral,3072,20,97.55,11.352303987852936,0.12771345792164052,89.98017664599101,3.0753459764223474,8134.249103024091,1354.6694003075347,11.252628101828302,0,39557.0
mixtral,4096,20,96.03,10.240623003849176,0.1372372736845038,90.28564296812371,3.1240237425804436,8263.001145475373,1376.1116317817348,10.141878917136346,0,39431.0
qwen,128,1,446.28,137.22774496753206,0.07778768107864636,184.66077574042646,0.6722237160527024,1778.0227659765171,296.11006542977503,136.70598593402508,0,39569.0
qwen,256,1,340.99,27.9394474976779,0.09914363610825394,98.58592028634723,0.8797911962227631,2327.0359834599253,387.54215666148565,27.22874047151199,0,39761.0
qwen,512,1,336.35,20.253824878724828,0.12231417691792644,99.15380679180119,0.8919280511372082,2359.1378028839003,392.8883603389326,19.706779543200668,2,39951.0
qwen,1024,1,338.84,23.088159484164642,0.12348634204747709,106.88467775392857,0.8853736276708771,2341.801440207768,390.00118049817024,22.153711475846787,4,39629.0
qwen,2048,1,340.27,23.50797568016423,0.11841734648595903,106.47280031857358,0.8816528051253417,2331.959914185794,388.3621829723455,23.280947116673048,3,39623.0
qwen,3072,1,341.71,25.071311841483965,0.12293523296325634,109.36655279073032,0.8779374323256564,2322.13280266893,386.7255860232361,24.738799071088707,4,39537.0
qwen,4096,1,343.96,27.779181606718748,0.12331593669654908,111.3687855743353,0.8721944412140947,2306.942667752064,384.19583672520065,27.397307648851104,5,39477.0
qwen,128,5,429.86,343.0616866718278,0.0758406765003304,377.09519513792065,0.6979016423951984,1845.940538780068,307.42102079746894,342.7930951554791,0,39569.0
qwen,256,5,336.42,237.69648234697203,0.10202903755902988,282.7394992560905,0.8917424647761726,2358.646929433446,392.80661078413885,237.23471406543337,0,39847.0
qwen,512,5,315.92,218.46569433920405,0.12049499811283354,262.33436622296415,0.9496074955684983,2511.699164345404,418.2957710812864,217.9765851144011,5,39915.0
qwen,1024,5,327.90,230.7361636126533,0.15135256941899008,274.9463475549182,0.9149130832570906,2419.9329063738946,403.0131137541934,230.24826369234842,10,39653.0
qwen,2048,5,326.04,229.21370533095745,0.1808571469286389,274.34968552918303,0.9201324990798675,2433.738191632928,405.3122316280211,228.8484016464808,10,39609.0
qwen,3072,5,319.28,221.23304120099158,0.1772345692289356,266.3198707836338,0.9396141317965423,2485.2668504134303,413.8937609621649,220.73748949716318,13,39537.0
qwen,4096,5,332.60,234.37851126354943,0.18897651754480138,279.8820347808748,0.9019843656043295,2385.7366205652434,397.3180998196031,233.7785095602997,12,39477.0
qwen,128,10,456.77,397.02853379680414,0.07937356722186709,431.9796522688527,0.6567856908290824,1737.1893951003788,289.3097182389387,396.8798454165689,0,39569.0
qwen,256,10,333.50,263.24983965228586,0.10048609846996646,304.7820921801137,0.8995502248875562,2379.2983508245875,396.2458770614693,263.06261995817,0,39847.0
qwen,512,10,322.31,252.01580312999852,0.12172823524091322,294.8409089611071,0.9307809251962397,2461.903136731718,410.0027923427756,251.62191569569535,5,39915.0
qwen,1024,10,322.50,255.125826506369,0.14860467414617143,295.5790000228214,0.9302325581395349,2460.4527131782947,409.76124031007754,254.8164917547122,10,39653.0
qwen,2048,10,324.15,255.98513133565882,0.17834634280712397,297.77396136640584,0.9254974548819992,2447.9284281968226,407.67545889248805,255.68422473232565,10,39609.0
qwen,3072,10,330.84,260.178810919838,0.18390496898065714,303.56296711454155,0.9067827348567284,2398.428243259582,399.4317494861565,259.84050572072954,13,39537.0
qwen,4096,10,322.22,252.84006206030668,0.1881807345287164,294.9513341056803,0.9310409037303705,2462.5907764881135,410.11731115387,252.54970743861006,12,39477.0
qwen,128,15,458.22,408.0498400858238,0.07824316220287601,442.56215482993707,0.65470734581642,1731.6922002531535,288.39422111649424,407.8989440445803,0,39569.0
qwen,256,15,330.13,270.56000080934433,0.10187288292389388,309.6988371679757,0.9087329233938146,2403.586465937661,400.29079453548604,270.38017912161393,0,39847.0
qwen,512,15,324.98,263.4148594138749,0.12271557352055201,305.8243501164975,0.9231337313065419,2441.6764108560524,406.6342544156563,263.1934314853148,5,39915.0
qwen,1024,15,321.83,263.0794556899073,0.15009688693266934,302.92279932709573,0.9321691576298046,2465.5749930087313,410.61429947487807,262.86706603931964,10,39653.0
qwen,2048,15,324.23,265.8625268767701,0.1763727395860558,306.2574835254945,0.9252690990963205,2447.3244301884465,407.57486969126853,265.5902499011287,10,39609.0
qwen,3072,15,330.29,269.7648677690103,0.18431167944670954,311.30436675354895,0.9082927124648036,2402.422113899906,400.0968845559962,269.45849792651364,13,39537.0
qwen,4096,15,325.01,265.10420254294064,0.18371285576181123,306.0367647587428,0.9230485215839513,2441.45103227593,406.59672010092,264.8360794984363,12,39477.0
qwen,128,20,435.92,391.3898329432659,0.07519412187754283,424.628188525205,0.6881996696641586,1820.2789502661037,303.1473664892641,391.2393006516492,0,39569.0
qwen,256,20,326.58,273.0114190447067,0.09926523873179716,310.34388682645584,0.9186110600771634,2429.7140057566294,404.6420478902566,272.824007806734,0,39847.0
qwen,512,20,322.11,266.03907909091737,0.12053289796194382,307.0451735316297,0.9313588525658936,2463.4317469187545,410.257365496259,265.8961860976399,5,39915.0
qwen,1024,20,326.67,271.35528810182603,0.1510918333213201,311.98129108728097,0.918357975939021,2429.044601585698,404.5305660146325,271.13515348916496,10,39653.0
qwen,2048,20,327.41,272.7747575138572,0.18116166185388063,313.3670227257421,0.9162823371308145,2423.554564613176,403.6162609572096,272.5113499279144,10,39609.0
qwen,3072,20,323.84,269.4756961785193,0.18598880805645115,309.0704868991295,0.9263833992094862,2450.271739130435,408.0657114624506,269.1681914153222,13,39537.0
qwen,4096,20,329.90,273.2549050493035,0.18809267648565567,315.0530772707971,0.9093664746892999,2405.262200666869,400.569869657472,272.98572801698253,12,39477.0
yi,128,1,404.83,96.86314888238019,0.06966572540848635,143.0038811028769,0.7410517995207865,1960.07212904182,326.4283773435763,96.27105474096345,0,39583.0
yi,256,1,311.01,3.419892511477807,0.06541201530009574,59.43131705911014,0.9645992090286486,2551.3520465579886,424.8995209157262,2.6564562853336953,0,39573.0
yi,512,1,311.84,1.7592541910499855,0.06950800522960261,62.831843611035154,0.9620318111852233,2544.5613134940995,423.76859928168295,1.4816619706992042,0,39613.0
yi,1024,1,312.05,1.7970739008541559,0.07588977132001937,65.56325425073432,0.9613843935266784,2542.848902419484,423.48341611921165,1.569671125123858,0,39543.0
