Scheduler,Input Output data Type,Model Name,Number of requests,QPS,Inference Time,P95 TTFT,P95 TPOT,Request Latency,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),Max GPU Memory
vllm,long input long output,mistral_7b,5,1.0,277.79,0.6194026582874357,0.04789098440462487,256.18666781708595,0.017999208034846465,132.9061521293063,59.462183663918786,38879.0
vllm,long input long output,mistral_7b,6,1.0,279.23,0.7491988578112796,0.048805760636863926,252.80212168674916,0.021487662500447657,170.6550155785553,67.27429001181821,39177.0
vllm,long input long output,mistral_7b,7,1.0,274.6,0.7631713318172842,0.049321170623636244,244.10029046109406,0.025491624180626362,212.31245447924252,77.72396212672979,39177.0
vllm,long input long output,mistral_7b,8,1.0,280.44,0.7605684402631595,0.049345931617194076,244.96694047336928,0.02852660105548424,228.2912565967765,83.48666381400656,39177.0
vllm,long input long output,mistral_7b,9,1.0,288.25,1.0551571808755398,0.054260254565363694,248.36411460400555,0.031222896790980052,259.4275802254987,89.90459670424978,39503.0
vllm,long input long output,mistral_7b,10,1.0,298.265,1.0581227993243374,0.05781952075540691,292.9031482922146,0.03352723249459374,581.7913600321862,189.84460127738757,39505.0
vllm,long input long output,mistral_7b,10,2.0,293.4,1.0565386399044656,0.05633804072521737,250.42905063554633,0.03408316291751875,295.7191547375597,96.49625085207909,39557.0
vllm,long input long output,mistral_7b,10,3.0,295.03,1.7935564935789443,0.05682691106972105,252.28141972067522,0.03389485815001864,294.08534725282175,95.96312239433279,40443.0
vllm,long input long output,mistral_7b,10,4.0,285.7,1.7993178249918855,0.05617480331518874,244.5295508834998,0.03500175008750438,303.689184459223,99.0969548477424,40443.0
vllm,long input long output,mistral_7b,10,5.0,299.25,1.7950254468363709,0.05736194212526049,256.23491157799714,0.03341687552213868,289.93817878028403,94.60985797827902,40443.0
vllm,long input long output,mistral_7b,10,6.0,294.78,1.8163923941436226,0.055969861200565796,252.17599741843287,0.03392360404369361,294.33475812470317,96.04450776850534,40675.0
vllm,long input long output,mistral_7b,10,7.0,297.05,1.8135623061796649,0.056951334920557234,254.72089290017018,0.033664366268305,292.0855074903215,95.31055377882511,40675.0
vllm,long input long output,mistral_7b,10,8.0,299.8,1.8198592022527011,0.05806329585792117,256.9893525018938,0.0333555703802535,289.4062708472315,94.4362908605737,40725.0
vllm,long input long output,mistral_7b,10,9.0,293.24,1.8115441015339457,0.0550018910296935,250.45503341219148,0.03410175965079798,295.8805074341836,96.54890192333924,40725.0
vllm,long input long output,mistral_7b,10,10.0,292.49,1.8161181391566061,0.056199712669937396,250.4092424672096,0.03418920304967691,296.63920134021674,96.79647167424527,40421.0
vllm,long input long output,mixtral_7b_8expert,1,1.0,124.97,0.1008404449094086,0.04435123731594007,123.9297032286413,0.008001920460910618,50.50012002880691,22.349363847323357,38865.0
vllm,long input long output,mixtral_7b_8expert,2,1.0,124.05,0.10320564906578511,0.044082445586236335,119.75902368632377,0.016122531237404272,77.98468359532447,33.04312777106006,38885.0
vllm,long input long output,mixtral_7b_8expert,3,1.0,126.49,0.09872027928940948,0.045038996350243964,124.38588236295618,0.023717289904340265,114.82330619021268,52.54960866471658,38885.0
vllm,long input long output,mixtral_7b_8expert,4,1.0,175.02,0.10172325549647208,0.04548401983216915,166.31434606829424,0.022854530910753054,147.72026054165238,60.14169809164667,39073.0
vllm,long input long output,mixtral_7b_8expert,5,1.0,271.08,0.10227412898093456,0.04590690834872065,249.59469614787957,0.01844473956027741,136.1959569130884,60.934041611332454,39095.0
vllm,long input long output,mixtral_7b_8expert,6,1.0,273.43,0.11359190969960757,0.04703050640294363,247.25142988585867,0.021943459020590278,174.274951541528,68.70131295029806,39229.0
vllm,long input long output,mixtral_7b_8expert,7,1.0,274.91,0.11376735477242612,0.046919706600590146,243.99377330078275,0.025462878760321557,212.073042086501,77.63631734022043,39209.0
vllm,long input long output,mixtral_7b_8expert,8,1.0,275.14,0.11338902061106633,0.04784927570588745,240.6508091920404,0.029076106709311624,232.6888129679436,85.09486079813914,39229.0
vllm,long input long output,mixtral_7b_8expert,9,1.0,271.29,0.1160437881480902,0.04678629317107929,232.16630030060182,0.03317483136127391,275.64598768845144,95.52508385860149,39229.0
vllm,long input long output,mixtral_7b_8expert,10,1.0,280.02,0.26254456001333887,0.04886144079632174,275.6085466483957,0.03571173487608028,619.6985929576459,202.214127562317,39629.0
vllm,long input long output,mixtral_7b_8expert,10,2.0,278.78,0.13672145570162672,0.048479472977361646,235.400470080797,0.035870578951144275,311.2274912117082,101.55678312647967,39359.0
vllm,long input long output,mixtral_7b_8expert,10,3.0,275.43,0.2573084591887891,0.0487632031490006,232.9766661285771,0.03630686562829031,315.01288893729804,102.79199796681553,39673.0
vllm,long input long output,mixtral_7b_8expert,10,4.0,273.84,0.25038919328944753,0.04809675603634937,231.4943570750648,0.036517674554484375,316.8419515045282,103.38884019865615,39639.0
vllm,long input long output,mixtral_7b_8expert,10,5.0,271.59,0.24187784136738621,0.04685689772047045,230.05501850463907,0.03682020692956295,319.46684340365994,104.24536985897862,39639.0
vllm,long input long output,mixtral_7b_8expert,10,6.0,276.39,0.24239467721199615,0.04894897567458198,234.45924639852012,0.03618075907232534,313.91873801512355,102.4349650855675,39359.0
vllm,long input long output,mixtral_7b_8expert,10,7.0,271.23,0.28631874811835584,0.04669795444869102,229.79003287543298,0.03686907790436161,319.89086752940307,104.3837333628286,39559.0
vllm,long input long output,mixtral_7b_8expert,10,8.0,274.43,0.2865018745651468,0.04859241091436826,233.59539635712275,0.03643916481434246,316.16076959516084,103.16656342236635,39559.0
vllm,long input long output,mixtral_7b_8expert,10,9.0,268.97,0.2851780196884647,0.04625180900593023,227.83017099312264,0.037178867531694984,322.5787262519983,105.26080975573483,39559.0
vllm,long input long output,mixtral_7b_8expert,10,10.0,270.74,0.2829125181655399,0.04762837659587643,230.51657628992098,0.03693580556991948,320.4698234468494,104.57265272955603,39559.0
vllm,long input long output,qwen_7b,1,1.0,126.39,0.3341174439992755,0.04477971789719307,125.35938524175435,0.007912018355882585,49.932747843975,22.098267267980063,38533.0
vllm,long input long output,qwen_7b,2,1.0,124.11,0.32440399354090915,0.04430375071333454,119.85742210334867,0.016114736926919667,77.94698251551044,33.02715333172186,38533.0
vllm,long input long output,qwen_7b,3,1.0,128.42,0.31977908504195507,0.045982859260225405,126.30586115615442,0.023360847220059183,113.09764834137985,51.7598504905778,38533.0
vllm,long input long output,qwen_7b,4,1.0,181.35,0.6057474167784674,0.047350957896049956,172.48230122526874,0.022056796250344637,142.56410256410257,58.04245933278192,38989.0
vllm,long input long output,qwen_7b,5,1.0,277.49,0.6122421998064964,0.04734161016846725,255.7634728502482,0.01801866733936358,133.04983963386067,59.526469422321526,38989.0
vllm,long input long output,qwen_7b,6,1.0,279.54,0.7359630522551015,0.04834761782102115,253.56480022147298,0.0214638334406525,170.46576518566215,67.19968519710953,39235.0
vllm,long input long output,qwen_7b,7,1.0,287.35,0.7503278469666839,0.05112365183689702,256.38634791190265,0.024360535931790498,202.8919436227597,74.27527405602923,39235.0
vllm,long input long output,qwen_7b,8,1.0,288.77,0.7509252395946532,0.052000415852789146,253.1633280929061,0.027703708834020156,221.70585587145482,81.07836686636423,39235.0
vllm,long input long output,qwen_7b,9,1.0,298.36,1.0386997408233583,0.057433107587564244,258.33396852663714,0.03016490146132189,250.63681458640568,86.85815793001743,39815.0
vllm,long input long output,qwen_7b,10,1.0,312.07500000000005,1.0395289558335208,0.062210724514514794,309.3685856911704,0.03204357926780421,556.0458223183529,181.44356324601455,39837.0
vllm,long input long output,qwen_7b,10,2.0,312.37,1.035389504628256,0.06197334713154622,268.82145867004283,0.03201331754009668,277.7603483048948,90.63610461952172,39551.0
