"TP-2, PP-1, Dataset- Arxiv, 300 Requests",model,qps,chunk_size,dynamic_chunking,total_time_sec,,,,model,qps,chunk_size,dynamic_chunking,total_time_sec,,,VLLM,model,qps,total_time_sec
yi,128,1107.40 s,300,5,,,,,,,,,,,,,,,
yi,256,563.47 s,300,5,,,,,,,,,,,,,,,
yi,512,381.99 s,300,5,,,,,,,,,,,,,,,
yi,1024,335.03 s,300,5,,,,,,,,,,,,,,,
yi,2048,309.50 s,300,5,,,,,,,,,,,,,,,
yi,3072,306.00 s,300,5,,,,,,,,,,,,,,,
yi,4096,298.54 s,300,5,,,,,,,,,,,,,,,
yi,128,1135.87 s,300,10,,,,,,,,,,,,,,,
yi,256,563.06 s,300,10,,,,,,,,,,,,,,,
yi,512,378.48 s,300,10,,,,,,,,,,,,,,,
yi,1024,336.52 s,300,10,,,,,,,,,,,,,,,
yi,2048,314.52 s,300,10,,,,,,,,,,,,,,,
yi,3072,300.36 s,300,10,,,,,,,,,,,,,,,
yi,4096,302.89 s,300,10,,,,,,,,,,,,,,,
yi,128,1151.72 s,300,15,,,,,,,,,,,,,,,
yi,256,566.38 s,300,15,,,,,,,,,,,,,,,
yi,512,384.21 s,300,15,,,,,,,,,,,,,,,
yi,1024,334.93 s,300,15,,,,,,,,,,,,,,,
yi,2048,313.87 s,300,15,,,,,,,,,,,,,,,
yi,3072,304.94 s,300,15,,,,,,,,,,,,,,,
yi,4096,302.73 s,300,15,,,,,,,,,,,,,,,
yi,128,1148.38 s,300,20,,,,,,,,,,,,,,,
yi,256,567.67 s,300,20,,,,,,,,,,,,,,,
yi,512,369.32 s,300,20,,,,,,,,,,,,,,,
yi,1024,337.16 s,300,20,,,,,,,,,,,,,,,
yi,2048,308.76 s,300,20,,,,,,,,,,,,,,,
yi,3072,306.51 s,300,20,,,,,,,,,,,,,,,
yi,4096,302.25 s,300,20,,,,,,,,,,,,,,,
