Dataset,Model,Sarathi-Serve,Chunk Size,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot (p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption,,vLLM with Preemption,Inference Time,Requests Count,Request Arrival Tiime,Request Throughput (req/s),Token Throughput (tokens/s),Output Token Throughput (output-tokens/s),ttft (p99),tpot(p99),Request Latency (p99),Preempted Requests Count,Total Preemption,Total Prefill Preemption,Total Decode Preemption
,,,,,,,,,,,,,,,2183.50 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2851.12 s,gpu = .45,1 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,memory error,gpu = .25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,vLLM 200 Requests,2208.33 s,gpu = .85,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2418.95 s,gpu = .65,0 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3194.02 s,gpu = .45,6 Preemption,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,memory error,gpu = .25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arxiv,mistral_7b,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 1 requests per second,,,,,,,,,,
,,,128,3779.20 s,1000,,0.26,2383.28,58.04,2796.42,0.057,2804.21,,,,,,,1312.32 s,1000,,0.83,7563.95,184.23,1133.02,0.35,1163.02,,,,
,,,256,1962.43 s,1000,,0.5,4589.68,111.78,982.92,0.059,994.89,,,,,,,,,,,,,,,,,,,
,,,512,1397.56 s,1000,,0.71,6444.75,156.97,418.66,0.085,438.57,,,,,,,,,,,,,,,,,,,
,,,1024,1223.10 s,1000,,0.81,7364.01,179.36,244.45,0.14,288.49,,,,,,,,,,,,,,,,,,,
,,,2048,1194.78 s,1000,,0.83,7538.56,183.61,211.66,0.27,294.05,,,,,,,,,,,,,,,,,,,
,,,3072,1203.95 s,1000,,0.83,7481.14,182.21,220.95,0.34,309.18,,,,,,,,,,,,,,,,,,,
,,,4096,1178.24 s,1000,,0.84,7644.38,186.19,193.01,0.35,282.15,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 5 requests per second,,,,,,,,,,
,,,128,3709.59 s,1000,,0.26,2428.01,59.13,3494.54,0.056,3506.42,,,,,,,1323.31 s,1000,,0.75,6806.36,165.77,1114.76,0.41,1148.12,,,,
,,,256,1966.54 s,1000,,0.5,4580.08,111.55,1764.28,0.059,1776.48,,,,,,,,,,,,,,,,,,,
,,,512,1405.82 s,1000,,0.71,6406.88,156.04,1202.13,0.086,1219.73,,,,,,,,,,,,,,,,,,,
,,,1024,1249.40 s,1000,,0.8,7209,175.58,1047.07,0.14,1073.16,,,,,,,,,,,,,,,,,,,
,,,2048,1172.83 s,1000,,0.85,7679.65,187.04,965.73,0.26,1000.19,,,,,,,,,,,,,,,,,,,
,,,3072,1197.01 s,1000,,0.83,7481.14,182.21,220.95,0.34,309.18,,,,,,,,,,,,,,,,,,,
,,,4096,1198.29 s,1000,,0.83,7516.48,183.07,991.16,0.35,1025.7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 10 requests per second,,,,,,,,,,
,,,128,3693.84 s,1000,,0.27,2438.36,59.38,3571.72,0.057,3584.12,,,,,,,1318.09 s,1000,,0.75,6833.31,166.43,1209.05,0.42,1240.91,,,,
,,,256,1980.29 s,1000,,0.5,4548.28,110.78,1872.91,0.059,1885.19,,,,,,,,,,,,,,,,,,,
,,,512,1379.97 s,1000,,0.72,6526.89,158.97,1275.83,0.085,1293.09,,,,,,,,,,,,,,,,,,,
,,,1024,1247.91 s,1000,,0.8,7217.6,175.79,1144.07,0.14,1168.62,,,,,,,,,,,,,,,,,,,
,,,2048,1190.58 s,1000,,0.83,7565.15,184.26,1077.1,0.27,1109.75,,,,,,,,,,,,,,,,,,,
,,,3072,1198.13 s,1000,,0.83,7517.48,183.09,1087.98,0.34,1120.82,,,,,,,,,,,,,,,,,,,
,,,4096,1201.45 s,1000,,0.83,7496.71,182.59,1092.65,0.36,1125.54,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,,,,,,Poisson Distribution of requests arrival 15 requests per second,,,,,,,,,,
