Sarathi,model,chunk_size,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib,,,vLLM,model,qps,inference_time,ttft_p99,tpot_p99,request_latency_p99,request_throughput_req_per_s,token_throughput_tokens_per_s,output_token_throughput_tokens_per_s,scheduling_delay_p99,preemption_count_waiting,max_gpu_memory_mib
,yi,4096,1,313.15,1.707678,0.084536,69.60847,0.958007,2533.917,421.9958,1.311955,0,39505,,,,,,,,,,,,,,,
,yi,128,5,390.57,305.017,0.067726,337.2914,0.768108,2031.636,338.3465,304.5732,0,39583,,,vLLM,yi,5,151.8,15.12557,1.214794,143.8308,1.976285,5227.246,870.5402,15.08221,0,41191
,yi,256,5,234.07,140.1398,0.073409,180.1787,1.281668,3389.994,564.5662,140.0425,0,39563,,,,,,,,,,,,,,,
,yi,512,5,180.2,75.5668,0.106252,127.8329,1.664817,4403.418,733.3407,75.33575,0,39657,,,,,,,,,,,,,,,
,yi,1024,5,169.21,48.82743,0.174093,130.6804,1.772945,4689.416,780.9704,48.48976,0,39739,,,,,,,,,,,,,,,
,yi,2048,5,155.51,22.24991,0.262744,134.2982,1.929136,5102.54,849.7717,21.83761,0,40699,,,,,,,,,,,,,,,
,yi,3072,5,153.6,14.57702,0.35916,137.2922,1.953125,5165.99,860.3385,14.08052,0,40189,,,,,,,,,,,,,,,
,yi,4096,5,147.85,13.04165,0.440553,135.423,2.029084,5366.899,893.7978,12.90102,0,40055,,,,,,,,,,,,,,,
,yi,128,10,399.27,342.3416,0.06844,374.1198,0.751371,1987.367,330.974,342.2047,0,39583,,,vLLM,yi,10,143.26,42.66341,1.428994,138.7431,2.094095,5538.852,922.4347,42.61624,0,42209
,yi,256,10,238.01,170.9503,0.074285,209.0839,1.260451,3333.877,555.2204,170.7138,0,39563,,,,,,,,,,,,,,,
,yi,512,10,182.73,107.1981,0.111512,155.0701,1.641767,4342.451,723.1872,106.9063,0,39657,,,,,,,,,,,,,,,
,yi,1024,10,161.61,71.57975,0.164985,135.2598,1.856321,4909.944,817.6969,71.40781,0,39739,,,,,,,,,,,,,,,
,yi,2048,10,147.68,46.44569,0.251158,131.8206,2.031419,5373.077,894.8267,46.14654,0,40699,,,,,,,,,,,,,,,
,yi,3072,10,154.14,42.41362,0.359584,142.8963,1.946283,5147.892,857.3245,42.27798,0,40189,,,,,,,,,,,,,,,
,yi,4096,10,149.46,41.50064,0.439527,140.0181,2.007226,5309.086,884.1697,41.36348,0,40055,,,,,,,,,,,,,,,
,yi,128,15,401.77,353.1437,0.068007,385.4681,0.746696,1975.001,328.9146,353.0068,0,39583,,,vLLM,yi,15,151.88,53.01949,1.431249,148.5594,1.975244,5224.493,870.0816,52.97177,0,42209
,yi,256,15,235.76,178.5143,0.073133,214.8906,1.27248,3365.694,560.5192,178.3806,0,39563,,,,,,,,,,,,,,,
,yi,512,15,186.1,118.2575,0.11209,166.9115,1.612037,4263.815,710.0913,118.0953,0,39657,,,,,,,,,,,,,,,
,yi,1024,15,166.88,85.53719,0.171627,148.4054,1.797699,4754.89,791.8744,85.2435,0,39739,,,,,,,,,,,,,,,
,yi,2048,15,155.29,59.78403,0.261861,142.2715,1.931869,5109.769,850.9756,59.46381,0,40699,,,,,,,,,,,,,,,
,yi,3072,15,148.03,50.9712,0.352454,138.5071,2.026616,5360.373,892.7109,50.83629,0,40189,,,,,,,,,,,,,,,
,yi,4096,15,150.76,51.07418,0.441716,143.2388,1.989918,5263.306,876.5455,50.93966,0,40055,,,,,,,,,,,,,,,
,yi,128,20,405.82,361.4556,0.067814,394.2108,0.739244,1955.291,325.6321,361.3175,0,39583,,,vLLM,yi,20,148.33,57.29973,1.425937,146.5351,2.022517,5349.531,890.9054,57.25566,0,42209
,yi,256,20,230.34,180.0299,0.072659,213.6163,1.302423,3444.89,573.7084,179.8941,0,39563,,,,,,,,,,,,,,,
,yi,512,20,186.55,122.8769,0.113359,171.468,1.608148,4253.53,708.3785,122.7511,0,39657,,,,,,,,,,,,,,,
,yi,1024,20,167.2,89.23719,0.17001,152.8132,1.794258,4745.789,790.3589,88.99401,0,39739,,,,,,,,,,,,,,,
,yi,2048,20,156.45,64.60387,0.266015,146.1635,1.917546,5071.882,844.666,64.2573,0,40699,,,,,,,,,,,,,,,
,yi,3072,20,148.17,55.37584,0.354179,139.9802,2.024701,5355.308,891.8674,55.25696,0,40189,,,,,,,,,,,,,,,
,yi,4096,20,148.02,54.53512,0.42534,141.6164,2.026753,5360.735,892.7712,54.39666,0,40055,,,,,,,,,,,,,,,
